timestamp,rawX,rawY,normalizedX,velocity,simTargetX,simHandX,deltaMs
2296.50,105.1,178.1,0.2920,0.00,0.5000,0.5000,0.00
2363.90,110.2,182.9,0.3060,74.94,0.3642,0.4389,67.40
2372.40,114.7,187.4,0.3186,534.51,0.3323,0.3909,8.50
2379.60,120.0,193.0,0.3334,739.16,0.3331,0.3649,7.20
2440.40,147.1,230.7,0.4086,445.59,0.3860,0.3744,60.80
2446.10,149.5,235.1,0.4153,417.75,0.4065,0.3888,5.70
2454.40,151.8,239.6,0.4218,283.36,0.4172,0.4016,8.30
2462.80,153.7,243.4,0.4268,215.08,0.4239,0.4116,8.40
2471.10,155.5,247.2,0.4320,223.90,0.4296,0.4197,8.30
2479.70,157.3,250.9,0.4369,205.19,0.4347,0.4264,8.60
2487.80,158.9,254.4,0.4413,197.08,0.4393,0.4322,8.10
2496.10,160.2,257.6,0.4451,165.90,0.4434,0.4373,8.30
2504.40,161.5,260.5,0.4487,152.84,0.4471,0.4417,8.30
2512.50,162.5,263.1,0.4515,126.39,0.4502,0.4455,8.10
2520.70,163.4,265.2,0.4538,98.85,0.4527,0.4487,8.20
2529.20,164.0,267.0,0.4555,74.64,0.4547,0.4514,8.50
2537.60,164.3,268.2,0.4564,36.93,0.4559,0.4534,8.40
2545.50,164.6,269.0,0.4572,35.48,0.4568,0.4549,7.90
2553.80,164.8,269.5,0.4578,26.63,0.4575,0.4561,8.30
2562.60,165.0,269.7,0.4583,22.53,0.4581,0.4570,8.80
2570.40,165.3,269.0,0.4591,35.31,0.4588,0.4578,7.80
2579.30,165.9,267.6,0.4608,70.26,0.4602,0.4589,8.90
2976.00,264.9,181.5,0.7358,0.00,0.5010,0.5008,0.00
3052.00,262.5,183.5,0.7292,-31.04,0.6608,0.5728,76.00
3060.30,257.7,187.6,0.7159,-577.07,0.6994,0.6297,8.30
3068.10,251.7,192.8,0.6993,-768.65,0.6993,0.6610,7.80
3076.40,245.6,197.8,0.6821,-742.50,0.6873,0.6729,8.30
3084.60,238.5,203.5,0.6626,-856.56,0.6700,0.6716,8.20
3092.90,231.6,209.1,0.6433,-838.43,0.6513,0.6625,8.30
3101.50,225.4,213.9,0.6262,-714.63,0.6338,0.6495,8.60
3109.60,221.1,217.5,0.6143,-532.37,0.6201,0.6363,8.10
3117.80,216.0,221.6,0.6000,-626.07,0.6060,0.6227,8.20
3126.20,212.0,224.9,0.5889,-476.04,0.5940,0.6098,8.40
3134.30,207.8,228.5,0.5773,-516.25,0.5823,0.5974,8.10
3144.00,204.0,231.8,0.5665,-398.65,0.5713,0.5856,9.70
3150.90,200.4,234.9,0.5568,-507.91,0.5611,0.5746,6.90
3159.70,196.9,238.1,0.5470,-399.24,0.5513,0.5641,8.80
3167.50,193.5,241.1,0.5375,-438.24,0.5417,0.5540,7.80
3176.00,190.3,244.0,0.5287,-373.93,0.5326,0.5444,8.50
3185.30,187.5,246.7,0.5208,-307.56,0.5243,0.5353,9.30
3192.50,184.8,249.1,0.5134,-365.98,0.5167,0.5270,7.20
3200.90,182.5,251.3,0.5068,-282.97,0.5098,0.5192,8.40
3209.20,180.4,253.4,0.5010,-252.77,0.5037,0.5122,8.30
3217.40,178.3,255.4,0.4952,-256.80,0.4977,0.5057,8.20
3225.70,176.4,257.2,0.4900,-225.43,0.4923,0.4997,8.30
3234.00,174.7,259.0,0.4852,-206.45,0.4873,0.4941,8.30
3242.50,173.0,260.8,0.4805,-200.98,0.4825,0.4889,8.50
3250.50,171.4,262.7,0.4760,-200.56,0.4780,0.4840,8.00
3260.30,169.8,264.5,0.4717,-159.41,0.4736,0.4793,9.80
3668.90,93.1,283.4,0.2585,0.00,0.2776,0.2779,0.00
3681.70,93.1,283.4,0.2585,0.00,0.2642,0.2717,12.80
3732.10,100.3,283.0,0.2786,143.54,0.2743,0.2729,50.40
3740.30,108.2,282.7,0.3005,962.39,0.2926,0.2818,8.20
3748.20,118.3,282.3,0.3285,1277.61,0.3178,0.2980,7.90
3756.70,130.2,281.7,0.3616,1399.13,0.3484,0.3207,8.50
3764.90,142.2,281.2,0.3951,1471.35,0.3811,0.3479,8.20
3773.20,153.1,280.7,0.4253,1308.01,0.4120,0.3767,8.30
3781.30,162.1,280.4,0.4502,1106.53,0.4387,0.4046,8.10
3789.80,171.3,280.1,0.4759,1089.77,0.4647,0.4317,8.50
3797.90,179.2,279.8,0.4978,975.32,0.4879,0.4570,8.10
3806.20,187.5,279.5,0.5209,999.19,0.5110,0.4813,8.30
3814.50,195.3,279.3,0.5425,936.75,0.5330,0.5046,8.30
3827.80,203.9,278.9,0.5665,650.26,0.5564,0.5279,13.30
3832.20,212.0,278.6,0.5889,1830.83,0.5791,0.5510,4.40
3839.80,218.6,278.1,0.6072,866.31,0.5987,0.5725,7.60
3847.80,225.3,277.4,0.6259,843.63,0.6178,0.5928,8.00
3856.50,232.0,276.6,0.6445,768.42,0.6365,0.6125,8.70
3864.50,238.0,275.8,0.6611,747.80,0.6537,0.6310,8.00
3872.70,243.4,275.0,0.6761,659.62,0.6694,0.6483,8.20
3881.10,248.0,274.2,0.6889,547.69,0.6830,0.6639,8.40
