timestamp,rawX,rawY,normalizedX,velocity,simTargetX,simHandX,deltaMs
10229.10,70.0,281.4,0.1944,125.33,0.1937,0.1919,10.60
10240.80,71.3,281.4,0.1982,116.38,0.1975,0.1955,11.70
10249.80,72.8,281.4,0.2022,160.37,0.2015,0.1994,9.00
10261.20,74.3,281.5,0.2065,136.83,0.2058,0.2035,11.40
10273.00,76.0,281.5,0.2111,139.73,0.2103,0.2079,11.80
10282.90,77.5,281.5,0.2152,150.86,0.2145,0.2122,9.90
10294.10,79.0,281.5,0.2194,133.84,0.2187,0.2164,11.20
10305.30,80.4,281.5,0.2233,124.02,0.2226,0.2204,11.20
10317.40,81.6,281.4,0.2268,104.57,0.2261,0.2241,12.10
10327.40,82.8,281.4,0.2300,116.08,0.2294,0.2276,10.00
10338.20,83.9,281.3,0.2330,99.07,0.2324,0.2307,10.80
10349.20,84.9,281.3,0.2358,91.74,0.2353,0.2337,11.00
10361.00,86.0,281.3,0.2388,93.38,0.2383,0.2367,11.80
10371.40,87.1,281.2,0.2419,106.45,0.2414,0.2397,10.40
10382.50,88.2,281.2,0.2451,104.17,0.2446,0.2429,11.10
10394.30,89.4,281.1,0.2485,101.66,0.2479,0.2461,11.80
10405.30,90.6,281.0,0.2517,106.00,0.2511,0.2494,11.00
10415.60,91.8,280.9,0.2549,112.86,0.2544,0.2526,10.30
10427.00,92.9,280.8,0.2580,95.69,0.2574,0.2557,11.40
10437.80,93.7,280.7,0.2604,81.89,0.2600,0.2585,10.80
10449.50,94.6,280.6,0.2629,77.07,0.2625,0.2611,11.70
10459.80,95.3,280.6,0.2647,63.94,0.2644,0.2632,10.30
10471.10,95.9,280.5,0.2664,53.78,0.2661,0.2651,11.30
10482.30,96.5,280.4,0.2680,51.82,0.2678,0.2668,11.20
10493.70,97.0,280.4,0.2695,47.52,0.2693,0.2684,11.40
10504.60,97.6,280.3,0.2710,47.75,0.2707,0.2699,10.90
10515.50,98.1,280.3,0.2726,53.55,0.2723,0.2715,10.90
10526.20,98.7,280.3,0.2743,55.16,0.2740,0.2731,10.70
10537.30,99.4,280.3,0.2760,57.86,0.2757,0.2748,11.10
10549.30,100.0,280.3,0.2777,50.48,0.2774,0.2765,12.00
10559.50,100.7,280.2,0.2798,72.89,0.2794,0.2784,10.20
10570.40,101.5,280.1,0.2819,68.72,0.2815,0.2804,10.90
10582.00,102.2,280.1,0.2839,63.03,0.2835,0.2824,11.60
10592.70,103.0,280.1,0.2860,70.73,0.2856,0.2845,10.70
10603.80,103.7,280.0,0.2882,69.71,0.2878,0.2866,11.10
10614.60,104.5,280.0,0.2901,66.61,0.2898,0.2887,10.80
10626.10,105.2,279.9,0.2923,68.05,0.2919,0.2908,11.50
10637.20,106.0,279.9,0.2943,65.57,0.2940,0.2929,11.10
10647.90,106.6,280.0,0.2962,63.58,0.2959,0.2948,10.70
10658.90,107.2,280.0,0.2979,54.81,0.2976,0.2966,11.00
10669.80,107.9,280.1,0.2998,63.64,0.2995,0.2985,10.90
10681.90,108.7,280.1,0.3019,60.77,0.3015,0.3005,12.10
10692.60,109.4,280.2,0.3039,68.18,0.3035,0.3025,10.70
10703.30,110.2,280.3,0.3062,76.51,0.3058,0.3046,10.70
10714.20,111.1,280.3,0.3085,76.12,0.3081,0.3069,10.90
10725.20,112.1,280.3,0.3114,96.41,0.3109,0.3095,11.00
10736.30,113.2,280.3,0.3145,98.21,0.3139,0.3124,11.10
10747.60,114.3,280.3,0.3176,100.57,0.3171,0.3154,11.30
10758.40,115.5,280.3,0.3208,106.85,0.3203,0.3186,10.80
10769.40,116.6,280.2,0.3238,98.99,0.3233,0.3216,11.00
10781.00,117.7,280.2,0.3268,92.66,0.3263,0.3247,11.60
10791.60,118.8,280.2,0.3301,110.12,0.3295,0.3278,10.60
10803.00,120.0,280.1,0.3334,103.60,0.3328,0.3310,11.40
10813.90,121.3,280.1,0.3370,118.98,0.3363,0.3345,10.90
10825.30,122.7,280.1,0.3408,120.01,0.3401,0.3381,11.40
10836.10,124.1,280.1,0.3447,133.07,0.3441,0.3420,10.80
10847.10,125.6,280.1,0.3488,131.78,0.3481,0.3459,11.00
10858.40,127.0,280.1,0.3527,126.35,0.3520,0.3499,11.30
10870.10,128.4,280.1,0.3566,117.24,0.3559,0.3538,11.70
10880.10,129.8,280.1,0.3605,141.31,0.3598,0.3577,10.00
10891.10,131.1,280.2,0.3642,122.39,0.3636,0.3615,11.00
10902.00,132.4,280.2,0.3679,121.43,0.3672,0.3652,10.90
10913.80,133.7,280.3,0.3714,107.26,0.3708,0.3688,11.80
10925.20,135.0,280.4,0.3749,111.02,0.3743,0.3724,11.40
10935.60,136.2,280.4,0.3782,113.87,0.3776,0.3758,10.40
10946.80,137.3,280.4,0.3815,106.26,0.3809,0.3791,11.20
10957.80,138.5,280.5,0.3847,103.34,0.3841,0.3824,11.00
10969.60,139.5,280.5,0.3876,88.22,0.3871,0.3854,11.80
10979.60,140.6,280.5,0.3905,104.98,0.3900,0.3884,10.00
10990.90,141.7,280.5,0.3936,99.70,0.3931,0.3914,11.30
11001.90,142.8,280.5,0.3966,97.54,0.3961,0.3944,11.00
11013.20,143.8,280.5,0.3994,89.48,0.3989,0.3973,11.30
11023.80,144.8,280.5,0.4021,91.08,0.4016,0.4001,10.60
11035.30,145.7,280.4,0.4046,78.95,0.4042,0.4027,11.50
11045.90,146.6,280.4,0.4072,87.15,0.4067,0.4053,10.60
11058.50,147.5,280.4,0.4098,75.77,0.4094,0.4079,12.60
11068.80,148.6,280.4,0.4127,102.11,0.4122,0.4107,10.30
11079.40,149.6,280.3,0.4156,97.01,0.4151,0.4136,10.60
11090.70,150.8,280.2,0.4188,101.60,0.4182,0.4166,11.30
11101.60,151.9,280.1,0.4220,106.50,0.4215,0.4198,10.90
11112.80,153.1,280.1,0.4252,103.18,0.4247,0.4229,11.20
11123.60,154.4,280.1,0.4288,118.63,0.4282,0.4263,10.80
11134.70,155.7,280.0,0.4324,117.57,0.4318,0.4299,11.10
11145.70,156.9,279.9,0.4359,113.22,0.4353,0.4334,11.00
11157.40,158.2,279.9,0.4394,109.68,0.4388,0.4369,11.70
11167.50,159.4,279.9,0.4428,120.31,0.4422,0.4404,10.10
11178.50,160.6,280.0,0.4462,109.91,0.4456,0.4437,11.00
11189.80,161.8,280.0,0.4495,106.33,0.4489,0.4471,11.30
11201.50,163.0,280.1,0.4528,101.27,0.4522,0.4504,11.70
11211.80,164.2,280.2,0.4561,113.96,0.4555,0.4537,10.30
11223.00,165.5,280.3,0.4596,113.41,0.4590,0.4571,11.20
11233.90,166.7,280.3,0.4630,112.26,0.4624,0.4605,10.90
11245.40,167.9,280.6,0.4664,106.63,0.4658,0.4640,11.50
11256.70,169.2,280.8,0.4700,115.06,0.4694,0.4675,11.30
11267.10,170.6,281.0,0.4738,132.18,0.4732,0.4712,10.40
11278.20,172.0,281.2,0.4778,127.69,0.4771,0.4750,11.10
11289.80,173.4,281.3,0.4817,121.82,0.4810,0.4789,11.60
11300.40,174.9,281.5,0.4858,140.40,0.4851,0.4829,10.60
11311.50,176.4,281.7,0.4899,133.52,0.4892,0.4870,11.10
11322.30,177.9,281.8,0.4940,136.96,0.4933,0.4911,10.80
11333.40,179.4,282.1,0.4982,135.37,0.4975,0.4953,11.10
11345.00,180.7,282.2,0.5020,118.59,0.5014,0.4992,11.60
11355.40,182.3,282.4,0.5063,146.45,0.5055,0.5033,10.40
11366.60,183.8,282.7,0.5104,134.02,0.5097,0.5075,11.20
11378.10,185.2,282.9,0.5144,123.87,0.5137,0.5115,11.50
11388.80,186.6,283.0,0.5184,134.50,0.5177,0.5155,10.70
11400.10,188.1,283.2,0.5225,129.26,0.5217,0.5196,11.30
11410.60,189.5,283.4,0.5264,135.29,0.5257,0.5236,10.50
11421.90,191.0,283.5,0.5305,130.35,0.5298,0.5276,11.30
11436.80,192.6,283.6,0.5349,105.94,0.5341,0.5318,14.90
11444.80,194.1,283.7,0.5392,196.17,0.5385,0.5361,8.00
11455.20,195.7,283.8,0.5435,148.77,0.5428,0.5405,10.40
11466.00,197.2,283.8,0.5478,142.78,0.5471,0.5447,10.80
11477.10,198.7,283.8,0.5518,129.50,0.5511,0.5489,11.10
11488.70,200.0,284.0,0.5557,120.33,0.5550,0.5529,11.60
11499.30,201.4,284.0,0.5596,132.02,0.5589,0.5568,10.60
11510.20,202.8,284.1,0.5633,122.56,0.5626,0.5606,10.90
11521.50,204.0,284.1,0.5668,111.86,0.5662,0.5642,11.30
11533.30,205.4,284.1,0.5706,117.16,0.5700,0.5680,11.80
11545.20,206.8,284.1,0.5744,113.71,0.5737,0.5717,11.90
11554.40,208.2,284.1,0.5784,156.71,0.5777,0.5756,9.20
11565.50,209.7,284.1,0.5824,129.71,0.5817,0.5796,11.10
11577.10,211.2,284.0,0.5867,133.55,0.5859,0.5837,11.60
11587.50,213.0,284.0,0.5918,176.50,0.5909,0.5884,10.40
11598.60,215.1,283.9,0.5974,180.77,0.5964,0.5936,11.10
11609.60,217.2,283.8,0.6032,192.26,0.6022,0.5992,11.00
11620.80,219.2,283.7,0.6089,181.54,0.6079,0.6049,11.20
11631.80,221.2,283.7,0.6144,181.58,0.6135,0.6104,11.00
11642.80,223.3,283.6,0.6202,188.06,0.6192,0.6161,11.00
11653.90,225.3,283.6,0.6259,186.22,0.6249,0.6218,11.10
11665.20,227.5,283.5,0.6318,188.34,0.6308,0.6277,11.30
11675.90,229.6,283.4,0.6377,198.39,0.6367,0.6335,10.70
11687.10,231.7,283.3,0.6436,188.71,0.6426,0.6394,11.20
11699.00,233.8,283.2,0.6494,175.34,0.6484,0.6452,11.90
11710.60,236.1,283.2,0.6557,195.73,0.6546,0.6513,11.60
11720.80,238.3,283.1,0.6619,217.11,0.6608,0.6575,10.20
11731.60,240.8,283.0,0.6689,234.34,0.6677,0.6641,10.80
